#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
CHRONICLE_MASS_CONVERSION_SPONSOR;[converting_king.GetTitledName] petitioned [sponsoring_king.GetTitledName] to bring the [sponsoring_king.Religion.GetName] faith to [converting_king.GetHerHis] pagan tribes.;[converting_king.Get_Le_TitledName] a supplié [converting_king.Get_le_TitledName] d'apporter la foi [sponsoring_king.Religion.GetName] à sa tribu païenne.;[converting_king.GetTitledName] bat [sponsoring_king.GetTitledName] darum, den [sponsoring_king.Religion.GetName]en Glauben in [converting_king.GetHerHis] Stammesreich zu bringen.;;[converting_king.GetTitledName] solicitó a [sponsoring_king.GetTitledName] llevar la fe [sponsoring_king.Religion.GetName] a sus tribus paganas.;;;;;;;;;x
EVTOPTCHF20008;Truly, I am now a devout [sponsoring_king.Religion.GetName] (Lie).;Franchement, je ne suis pas un[Root.Get_E] pieu[Root.GetXSe] [Root.Religion.GetName]. (Mentir);Ich bin nun ein wahrhaftiger [sponsoring_king.Religion.GetName]er Gläubiger (Lüge).;;Claro, ahora soy un [sponsoring_king.Religion.GetName] devoto. (miento).;;;;;;;;;x
religion_cosmopolitan_desc;We must acknowledge that every people has its own protectors and that more often than not we all worship the same gods, just with different names and in different ways.;Nous reconnaissons que chaque personne a ses propres protecteurs et que souvent nous adorons les mêmes dieux, sous différents noms et de différentes façons.;Wir müssen anerkennen, dass jedes Volk seine eigenen Beschützer hat und dass wir oft alle die gleichen Götter verehren, auch wenn sie verschiedene Namen haben oder wir sie auf unterschiedliche Weise anbeten.;;Debemos reconocer que cada pueblo tiene sus propios protectores y que la mayoría de las veces todos adoramos a los mismos dioses, solo que con nombres diferentes y de maneras distintas.;;;;;;;;;x
indoaryan_opinion;[indoaryan.GetGroupName] Opinion;Opinion [indoaryan.GetGroupName];[indoaryan.GetGroupName]e Meinung;;Parecer [indoaryan.GetGroupName];;;;;;;;;x
alt_start_community_name_yazidism;The [yazidism.GetName] Faithful;Fidèles [yazidism.GetName]s;Die [yazidism.GetName]en Gläubigen;;Creyentes [yazidism.GetName]s;;;;;;;;;x
theocratic_feudal_government_desc;The Monastic Feudal government, much like the ordinary Feudal government, revolves around the oath between liege and vassal, and Monastic Feudal lords can only directly own so many Holdings before they must start to rely on vassals - whose loyalty may vary... The Monastic Feudal government is unique to [tibetan_group.GetGroupName] of either the [buddhist.GetName] or [bon.GetName] faiths, as well as the [celtic.GetName] faith, and allows holding Temples in addition to Castles. Monastic Feudal rulers can also construct Monastery buildings in Castle holdings.;Le gouvernement féodal monastique, tout comme le gouvernement féodal ordinaire, repose sur un serment entre le seigneur lige et le vassal, et les seigneurs féodaux monastiques ne peuvent posséder directement que peu de propriétés avant de devoir compter sur les vassaux – dont la fidélité peut varier... Le gouvernement féodal monastique est spécifique aux [tibetan_group.GetGroupName]s de confession [buddhist.GetName] ou [bon.GetName], ainsi que la foi [celtic.GetName], et permet de détenir des temples en plus des châteaux. Les dirigeants féodaux monastiques peuvent également construire des bâtiments du monastère dans les châteaux.;Wie auch bei der gewöhnlichen Feudalregierung steht im Zentrum eines feudalen Mönchordens der Eid zwischen Lehnsherr und Vasall. Die Anzahl der Besitztümer, die ein feudaler Herrscher persönlich regieren kann, ist begrenzt. Anschließend kommen Vasallen ins Spiel, deren Loyalität unterschiedlich groß sein kann ... der feudale Mönchsorden ist für [tibetan_group.GetGroupName]e Nationen einzigartig, die entweder dem [buddhist.GetName]en oder [bon.GetName]en Glauben angehören, sowie der [celtic.GetName]en Glauben, und erlaubt das gleichzeitige Halten von Tempeln und Burgen. Herrscher von feudalen Mönchsorden können außerdem in Burg-Besitztümern Kloster errichten.;;El gobierno feudal monástico, como el feudal normal, se articula en torno al pacto entre señor y vasallo. Los señores feudales monásticos solo pueden tener unas cuantas posesiones antes de recurrir a vasallos cuya lealtad puede variar… El gobierno feudal monástico es exclusivo de los [tibetan_group.GetGroupName], ya sean de fe [buddhist.GetName] o [bon.GetName], así como la fe [celtic.GetName], y permite poseer monasterios además de castillos. Los gobernantes feudales monásticos también pueden construir monasterios como edificios en posesiones de castillos.;;;;;;;;;x
ALT_YAZIDI;The [yazidism.GetName] Caliphate;Califat [yazidism.GetName];Das [yazidism.GetName]e Kalifat;;El califato [yazidism.GetName];;;;;;;;;x
ALT_YAZIDI_ADJ;[yazidism.GetName] Caliphate;Califat [yazidism.GetName];[yazidism.GetName]es Kalifat;;califal [yazidism.GetName];;;;;;;;;x
EVTDESC_MNM_6028_ALT;My eyes open, seeing only darkness. For a moment, my mind is blank, before the first thoughts get through the haze of sleep. Why did I wake up? A deep [Root.GetManWoman]'s voice cuts through the silence, startling me. "The time has come for you to profess your devoutness to [shiite.GetHighGodName].";Vous ouvrez vos yeux, et ne voyez que l'obscurité. Votre esprit est vide, avant que les premières pensées n'arrivent à traverser la brume du sommeil. « Pourquoi vous êtes-vous réveillé[Root.Get_E] ? », dit une voix [Root.GetDDe][Root.GetManWoman], rompant le silence et vous faisant sursauter. « C'est le moment pour vous de professer votre dévotion à [shiite.GetHighGodName] ».;Ihr öffnet Eure Augen und seht nur Finsternis. Einen Augenblick lang ist Euer Kopf leer, bevor die ersten Gedanken durch den Nebel des Schlafes dringen. Warum seid Ihr aufgewacht? Eine tiefe Stimme schneidet durch die Stille und Ihr schreckt auf. "Die Zeit ist gekommen, deine Hingabe zu [shiite.GetHighGodName] zu bekennen.";;Abro los ojos, viendo solo oscuridad. Por un momento, tengo la mente en blanco, antes que los primeros pensamientos atraviesen la niebla del sueño. ¿Por qué he despertado? Una voz profunda de [Root.GetManWoman] corta el silencio, sorprendiéndome. "Ha llegado el momento de que demuestres tu devoción a [shiite.GetHighGodName]".;;;;;;;;;x
EVTOPTA_6028_ALT;Glory to [shiite.GetHighGodName]!;Gloire à [shiite.GetHighGodName] !;Ehre sei [shiite.GetHighGodName]!;;¡Gloria a [shiite.GetHighGodName]!;;;;;;;;;x
EVTOPTC_6028_ALT;I will carry out [shiite.GetHighGodName]'s wishes in secret, no matter the risk.;Je vais appliquer les préceptes de [shiite.GetHighGodName] en secret, peu importe le risque.;Ich führe die Wünsche von [shiite.GetHighGodName] im Geheimen aus, egal wie Risikoreich sie auch sind.;;Cumpliré los deseos de [shiite.GetHighGodName] en secreto sin importar el coste.;;;;;;;;;x
